"Conduction Band (eV)","vtkValidPointMask","arc_length","x (nm)","y (nm)","z (nm)"
1.1251,1,70.72,-59.28,0,25.9
1.125,1,70.98,-59.02,0,25.9
1.125,1,71.24,-58.76,0,25.9
1.125,1,71.5,-58.5,0,25.9
1.1249,1,71.76,-58.24,0,25.9
1.1249,1,72.02,-57.98,0,25.9
1.1249,1,72.28,-57.72,0,25.9
1.1249,1,72.54,-57.46,0,25.9
1.1248,1,72.8,-57.2,0,25.9
1.1248,1,73.06,-56.94,0,25.9
1.1248,1,73.32,-56.68,0,25.9
1.1248,1,73.58,-56.42,0,25.9
1.1247,1,73.84,-56.16,0,25.9
1.1247,1,74.1,-55.9,0,25.9
1.1247,1,74.36,-55.64,0,25.9
1.1247,1,74.62,-55.38,0,25.9
1.1247,1,74.88,-55.12,0,25.9
1.1247,1,75.14,-54.86,0,25.9
1.1247,1,75.4,-54.6,0,25.9
1.1247,1,75.66,-54.34,0,25.9
1.1247,1,75.92,-54.08,0,25.9
1.1247,1,76.18,-53.82,0,25.9
1.1246,1,76.44,-53.56,0,25.9
1.1246,1,76.7,-53.3,0,25.9
1.1246,1,76.96,-53.04,0,25.9
1.1246,1,77.22,-52.78,0,25.9
1.1246,1,77.48,-52.52,0,25.9
1.1246,1,77.74,-52.26,0,25.9
1.1246,1,78,-52,0,25.9
1.1246,1,78.26,-51.74,0,25.9
1.1246,1,78.52,-51.48,0,25.9
1.1246,1,78.78,-51.22,0,25.9
1.1246,1,79.04,-50.96,0,25.9
1.1246,1,79.3,-50.7,0,25.9
1.1247,1,79.56,-50.44,0,25.9
1.1247,1,79.82,-50.18,0,25.9
1.1247,1,80.08,-49.92,0,25.9
1.1247,1,80.34,-49.66,0,25.9
1.1247,1,80.6,-49.4,0,25.9
1.1248,1,80.86,-49.14,0,25.9
1.1248,1,81.12,-48.88,0,25.9
1.1248,1,81.38,-48.62,0,25.9
1.1248,1,81.64,-48.36,0,25.9
1.1249,1,81.9,-48.1,0,25.9
1.1249,1,82.16,-47.84,0,25.9
1.1249,1,82.42,-47.58,0,25.9
1.1249,1,82.68,-47.32,0,25.9
1.1249,1,82.94,-47.06,0,25.9
1.125,1,83.2,-46.8,0,25.9
1.125,1,83.46,-46.54,0,25.9
1.125,1,83.72,-46.28,0,25.9
1.1251,1,83.98,-46.02,0,25.9
1.1251,1,84.24,-45.76,0,25.9
1.1251,1,84.5,-45.5,0,25.9
1.1252,1,84.76,-45.24,0,25.9
1.1252,1,85.02,-44.98,0,25.9
1.1253,1,85.28,-44.72,0,25.9
1.1253,1,85.54,-44.46,0,25.9
1.1254,1,85.8,-44.2,0,25.9
1.1254,1,86.06,-43.94,0,25.9
1.1254,1,86.32,-43.68,0,25.9
1.1255,1,86.58,-43.42,0,25.9
1.1255,1,86.84,-43.16,0,25.9
1.1256,1,87.1,-42.9,0,25.9
1.1256,1,87.36,-42.64,0,25.9
1.1257,1,87.62,-42.38,0,25.9
1.1257,1,87.88,-42.12,0,25.9
1.1258,1,88.14,-41.86,0,25.9
1.1259,1,88.4,-41.6,0,25.9
1.126,1,88.66,-41.34,0,25.9
1.126,1,88.92,-41.08,0,25.9
1.1261,1,89.18,-40.82,0,25.9
1.1262,1,89.44,-40.56,0,25.9
1.1263,1,89.7,-40.3,0,25.9
1.1264,1,89.96,-40.04,0,25.9
1.1265,1,90.22,-39.78,0,25.9
1.1266,1,90.48,-39.52,0,25.9
1.1266,1,90.74,-39.26,0,25.9
1.1267,1,91,-39,0,25.9
1.1268,1,91.26,-38.74,0,25.9
1.1269,1,91.52,-38.48,0,25.9
1.127,1,91.78,-38.22,0,25.9
1.1271,1,92.04,-37.96,0,25.9
1.1272,1,92.3,-37.7,0,25.9
1.1273,1,92.56,-37.44,0,25.9
1.1274,1,92.82,-37.18,0,25.9
1.1275,1,93.08,-36.92,0,25.9
1.1276,1,93.34,-36.66,0,25.9
1.1277,1,93.6,-36.4,0,25.9
1.1278,1,93.86,-36.14,0,25.9
1.1279,1,94.12,-35.88,0,25.9
1.128,1,94.38,-35.62,0,25.9
1.1281,1,94.64,-35.36,0,25.9
1.1282,1,94.9,-35.1,0,25.9
1.1283,1,95.16,-34.84,0,25.9
1.1284,1,95.42,-34.58,0,25.9
1.1285,1,95.68,-34.32,0,25.9
1.1286,1,95.94,-34.06,0,25.9
1.1287,1,96.2,-33.8,0,25.9
1.1289,1,96.46,-33.54,0,25.9
1.1291,1,96.72,-33.28,0,25.9
1.1293,1,96.98,-33.02,0,25.9
1.1295,1,97.24,-32.76,0,25.9
1.1297,1,97.5,-32.5,0,25.9
1.1299,1,97.76,-32.24,0,25.9
1.1301,1,98.02,-31.98,0,25.9
1.1303,1,98.28,-31.72,0,25.9
1.1306,1,98.54,-31.46,0,25.9
1.1308,1,98.8,-31.2,0,25.9
1.131,1,99.06,-30.94,0,25.9
1.1312,1,99.32,-30.68,0,25.9
1.1314,1,99.58,-30.42,0,25.9
1.1316,1,99.84,-30.16,0,25.9
1.1317,1,100.1,-29.9,0,25.9
1.1319,1,100.36,-29.64,0,25.9
1.1321,1,100.62,-29.38,0,25.9
1.1324,1,100.88,-29.12,0,25.9
1.1327,1,101.14,-28.86,0,25.9
1.1331,1,101.4,-28.6,0,25.9
1.1336,1,101.66,-28.34,0,25.9
1.134,1,101.92,-28.08,0,25.9
1.1344,1,102.18,-27.82,0,25.9
1.1349,1,102.44,-27.56,0,25.9
1.1353,1,102.7,-27.3,0,25.9
1.1357,1,102.96,-27.04,0,25.9
1.1362,1,103.22,-26.78,0,25.9
1.1366,1,103.48,-26.52,0,25.9
1.137,1,103.74,-26.26,0,25.9
1.1374,1,104,-26,0,25.9
1.1379,1,104.26,-25.74,0,25.9
1.1383,1,104.52,-25.48,0,25.9
1.1389,1,104.78,-25.22,0,25.9
1.1397,1,105.04,-24.96,0,25.9
1.1405,1,105.3,-24.7,0,25.9
1.1413,1,105.56,-24.44,0,25.9
1.1421,1,105.82,-24.18,0,25.9
1.1429,1,106.08,-23.92,0,25.9
1.1437,1,106.34,-23.66,0,25.9
1.1445,1,106.6,-23.4,0,25.9
1.1454,1,106.86,-23.14,0,25.9
1.1462,1,107.12,-22.88,0,25.9
1.147,1,107.38,-22.62,0,25.9
1.1478,1,107.64,-22.36,0,25.9
1.1486,1,107.9,-22.1,0,25.9
1.1494,1,108.16,-21.84,0,25.9
1.1502,1,108.42,-21.58,0,25.9
1.1509,1,108.68,-21.32,0,25.9
1.1514,1,108.94,-21.06,0,25.9
1.1516,1,109.2,-20.8,0,25.9
1.1518,1,109.46,-20.54,0,25.9
1.1525,1,109.72,-20.28,0,25.9
1.1534,1,109.98,-20.02,0,25.9
1.1543,1,110.24,-19.76,0,25.9
1.1553,1,110.5,-19.5,0,25.9
1.1563,1,110.76,-19.24,0,25.9
