"Conduction Band (eV)","vtkValidPointMask","arc_length","x (nm)","y (nm)","z (nm)"
1.1364,0,1,104.26,-25.74,0,25.9
1.1368,0,1,104.52,-25.48,0,25.9
1.1374,0,1,104.78,-25.22,0,25.9
1.1381,0,1,105.04,-24.96,0,25.9
1.1389,0,1,105.3,-24.7,0,25.9
1.1396,0,1,105.56,-24.44,0,25.9
1.1403,0,1,105.82,-24.18,0,25.9
1.1411,0,1,106.08,-23.92,0,25.9
1.1418,0,1,106.34,-23.66,0,25.9
1.1425,0,1,106.6,-23.4,0,25.9
1.1433,0,1,106.86,-23.14,0,25.9
1.144,0,1,107.12,-22.88,0,25.9
1.1447,0,1,107.38,-22.62,0,25.9
1.1455,0,1,107.64,-22.36,0,25.9
1.1462,0,1,107.9,-22.1,0,25.9
1.1469,0,1,108.16,-21.84,0,25.9
1.1477,0,1,108.42,-21.58,0,25.9
1.1484,0,1,108.68,-21.32,0,25.9
1.1488,0,1,108.94,-21.06,0,25.9
1.149,0,1,109.2,-20.8,0,25.9
1.1492,0,1,109.46,-20.54,0,25.9
1.1498,0,1,109.72,-20.28,0,25.9
1.1506,0,1,109.98,-20.02,0,25.9
1.1515,0,1,110.24,-19.76,0,25.9
1.1525,0,1,110.5,-19.5,0,25.9
1.1534,0,1,110.76,-19.24,0,25.9
1.1543,0,1,111.02,-18.98,0,25.9
1.1552,0,1,111.28,-18.72,0,25.9
1.1561,0,1,111.54,-18.46,0,25.9
1.157,0,1,111.8,-18.2,0,25.9
1.158,0,1,112.06,-17.94,0,25.9
1.1589,0,1,112.32,-17.68,0,25.9
1.1598,0,1,112.58,-17.42,0,25.9
1.1607,0,1,112.84,-17.16,0,25.9
1.1616,0,1,113.1,-16.9,0,25.9
1.1625,0,1,113.36,-16.64,0,25.9
1.1635,0,1,113.62,-16.38,0,25.9
1.1644,0,1,113.88,-16.12,0,25.9
1.1672,0,1,114.14,-15.86,0,25.9
1.1712,0,1,114.4,-15.6,0,25.9
1.1752,0,1,114.66,-15.34,0,25.9
1.1792,0,1,114.92,-15.08,0,25.9
1.1832,0,1,115.18,-14.82,0,25.9
1.1872,0,1,115.44,-14.56,0,25.9
1.1913,0,1,115.7,-14.3,0,25.9
1.1953,0,1,115.96,-14.04,0,25.9
1.1993,0,1,116.22,-13.78,0,25.9
1.2033,0,1,116.48,-13.52,0,25.9
1.2073,0,1,116.74,-13.26,0,25.9
1.2113,0,1,117,-13,0,25.9
1.2153,0,1,117.26,-12.74,0,25.9
1.2193,0,1,117.52,-12.48,0,25.9
1.2233,0,1,117.78,-12.22,0,25.9
1.2274,0,1,118.04,-11.96,0,25.9
1.2315,0,1,118.3,-11.7,0,25.9
1.2352,0,1,118.56,-11.44,0,25.9
1.2374,0,1,118.82,-11.18,0,25.9
1.2389,0,1,119.08,-10.92,0,25.9
1.2388,0,1,119.34,-10.66,0,25.9
1.2401,0,1,119.6,-10.4,0,25.9
1.2421,0,1,119.86,-10.14,0,25.9
1.2442,0,1,120.12,-9.88,0,25.9
1.2462,0,1,120.38,-9.62,0,25.9
1.2482,0,1,120.64,-9.36,0,25.9
1.2502,0,1,120.9,-9.1,0,25.9
1.2522,0,1,121.16,-8.84,0,25.9
1.2543,0,1,121.42,-8.58,0,25.9
1.2563,0,1,121.68,-8.32,0,25.9
1.2583,0,1,121.94,-8.06,0,25.9
1.2603,0,1,122.2,-7.8,0,25.9
1.2623,0,1,122.46,-7.54,0,25.9
1.2643,0,1,122.72,-7.28,0,25.9
1.2664,0,1,122.98,-7.02,0,25.9
1.2684,0,1,123.24,-6.76,0,25.9
1.269,0,1,123.5,-6.5,0,25.9
1.2689,0,1,123.76,-6.24,0,25.9
1.2688,0,1,124.02,-5.98,0,25.9
1.2687,0,1,124.28,-5.72,0,25.9
1.2686,0,1,124.54,-5.46,0,25.9
1.2685,0,1,124.8,-5.2,0,25.9
1.2683,0,1,125.06,-4.94,0,25.9
1.2682,0,1,125.32,-4.68,0,25.9
1.2681,0,1,125.58,-4.42,0,25.9
1.268,0,1,125.84,-4.16,0,25.9
1.2679,0,1,126.1,-3.9,0,25.9
1.2677,0,1,126.36,-3.64,0,25.9
1.2676,0,1,126.62,-3.38,0,25.9
1.2676,0,1,126.88,-3.12,0,25.9
1.2677,0,1,127.14,-2.86,0,25.9
1.2678,0,1,127.4,-2.6,0,25.9
1.2679,0,1,127.66,-2.34,0,25.9
1.2676,0,1,127.92,-2.08,0,25.9
1.2671,0,1,128.18,-1.82,0,25.9
1.2666,0,1,128.44,-1.56,0,25.9
1.2669,0,1,128.7,-1.3,0,25.9
1.2671,0,1,128.96,-1.04,0,25.9
1.2674,0,1,129.22,-0.78,0,25.9
1.2677,0,1,129.48,-0.52,0,25.9
1.268,0,1,129.74,-0.26,0,25.9
1.2682,0,1,130,0,0,25.9
1.2685,0,1,130.26,0.26,0,25.9
1.2688,0,1,130.52,0.52,0,25.9
1.269,0,1,130.78,0.78,0,25.9
1.2693,0,1,131.04,1.04,0,25.9
1.2696,0,1,131.3,1.3,0,25.9
1.2698,0,1,131.56,1.56,0,25.9
1.2698,0,1,131.82,1.82,0,25.9
1.2696,0,1,132.08,2.08,0,25.9
1.2694,0,1,132.34,2.34,0,25.9
1.2693,0,1,132.6,2.6,0,25.9
1.2691,0,1,132.86,2.86,0,25.9
1.269,0,1,133.12,3.12,0,25.9
1.2688,0,1,133.38,3.38,0,25.9
1.2686,0,1,133.64,3.64,0,25.9
1.2688,0,1,133.9,3.9,0,25.9
1.2695,0,1,134.16,4.16,0,25.9
1.2698,0,1,134.42,4.42,0,25.9
1.2693,0,1,134.68,4.68,0,25.9
1.2689,0,1,134.94,4.94,0,25.9
1.269,0,1,135.2,5.2,0,25.9
1.2691,0,1,135.46,5.46,0,25.9
1.2693,0,1,135.72,5.72,0,25.9
1.2694,0,1,135.98,5.98,0,25.9
1.2695,0,1,136.24,6.24,0,25.9
1.2697,0,1,136.5,6.5,0,25.9
1.2698,0,1,136.76,6.76,0,25.9
1.2699,0,1,137.02,7.02,0,25.9
